name,category,scale,mood,difficulty,description,tags
農家の納屋,農業,小,のどか,1,干し草ブロックと木材を組み合わせた素朴な納屋。外に農具をアイテムフレームで飾ると雰囲気が出る。,木造|素朴|田舎|額縁
井戸,地味系,超小,のどか,1,丸石と木の柵でできたシンプルな井戸。バケツを鎖でぶら下げると完璧。,地味め|どこにでも合う|石造り
案山子,地味系,超小,のどか,1,防具立てに帽子と服を着せた畑の番人。複数並べると不気味さも出る。,農業|雰囲気もの|防具立て
牧草地の小屋,農業,小,のどか,1,フェンスで囲んだ牧草地に建つ小さな農夫の家。牛や羊を放してのどかな雰囲気に。,牧場|動物|素朴
水車小屋,産業,小,のどか,2,川沿いに作る水車が回る小屋。木材と石で素朴に仕上げる。,川沿い|水車|木造
花畑,自然,大,のどか,1,色別に花を大量に植えた景観重視エリア。上から見た配色が映えポイント。,カラフル|景観|広大|花
養蜂場,農業,小,のどか,1,ミツバチの巣箱を並べた小さな農場。周囲に花を植えてミツバチが飛ぶ環境を作る。,かわいい|昆虫|地味め|花|農業
田んぼ,農業,中,のどか,1,水を張った田んぼに小麦や竹を植えて和風の農村風景を作る。,和風|水田|田舎|水景|竹|農業
干し柿小屋,農業,超小,のどか,1,屋根の下にカボチャをぶら下げた小さな小屋。秋の農村っぽさが出る。,和風|秋っぽい|地味め
農村の広場,地味系,中,のどか,2,村の中心にある小さな広場。ベンチや木、花壇を配置して住民が集まれる憩いの場に。,広場|村|のどか|花
釣り堀,娯楽,小,のどか,1,池に桟橋を作って釣りができるスポット。小屋と竿（フェンス）を添えると完璧。,水辺|のんびり|橋
藁葺き屋根の家,住居,小,のどか,2,葉ブロックで屋根を作った古民家。木材と土ブロックで素朴な農村の家が完成。,古民家|和風|素朴|木造
馬小屋・厩舎,産業,小,のどか,1,木の柵と干し草ブロックで作る馬の住処。隣にトレイルへの道を作ると完璧。,馬|動物|田舎
果樹園,農業,中,のどか,1,リンゴの木（オークの木）を整然と並べた果樹園。収穫かごを置いた小屋も添える。,のどか|農業|緑|木造
芋畑の小作農家,農業,小,のどか,1,ジャガイモ畑と古い農家のセット。ボロい柵で囲って貧しいけど温かい雰囲気に。,地味め|素朴|田舎|農業
市場・マーケット,商業,中,にぎやか,2,屋台やテントを並べた広場。色々な看板ブロックで賑やかに演出できる。,広場|にぎやか|バリエーション|屋台・テント|看板
商店街,商業,大,にぎやか,3,両側に店が並ぶ通り。統一感のある看板と街灯で整備された商店街を作る。,通り|にぎやか|商売|看板
屋台街,商業,中,にぎやか,2,夜だけ開く屋台が並ぶ通り。ランタンと屋台の光で夜の食べ歩き感を演出。,夜映え|食べ物|通り|屋台・テント|照明
オークション会場,商業,中,にぎやか,3,競売台と観客席を設けた商業施設。高級品のアイテムフレームを並べて価値ある品が集まる場所に。,商業|内装|珍しい|額縁
魚市場,商業,中,にぎやか,2,港に隣接した魚の競り場。氷ブロックの上に魚を並べた内装がリアル。,港|食べ物|朝早い感|氷
骨董品屋,商業,小,にぎやか,2,古びた内装にアイテムフレームびっしり。チェストをカウンターに見立てて雑然と並べる。,内装|レトロ|商業|収納|額縁
ショッピングモール,商業,超大,にぎやか,5,複数の店舗が入る大型商業施設。吹き抜けと噴水がある内部が映えポイント。,現代|内装|商売|多層構造|水景
パン屋,食料,小,にぎやか,1,かまどや作業台で職人感。看板や焼き立てパンで可愛い雰囲気に。,食べ物|温かみ|かまど|看板
カフェ,食料,小,にぎやか,2,テラス席と内装にこだわったおしゃれなカフェ。コーヒー豆（茶色のブロック）を飾って雰囲気作り。,おしゃれ|テラス
